"percent","model","score","time_stamp"
"50.0","frog","0.5","2024-03-15-13:51:35203485"
"50.0","frog","0.5"
"50.0","frog","0.5"
"50.0","frog","0.5","2024-03-15-14:02:40078034"
"25.0","frog","0.5","2024-03-16-01:15:48278844"
"0.0","mistral-7b-instruct","0.0","2024-03-16-01:15:48278967"
"16.666666666666664","frog","0.5","2024-03-16-13:58:32200839"
"0.0","mistral-7b-instruct","0.0","2024-03-16-13:58:32201059"
"0.0","mistral-7b-instruct","0.0","2024-03-16-14:13:43766665"
"0.0","mistral-7b-instruct","0.0","2024-03-16-17:05:46685635"
