"percent","model","score","task_file","time_stamp"
"83.33333333333334","claude-3-opus-20240229","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","10 / 12","2024-03-24-23:14:14006367"
"75.0","claude-2.1","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","9 / 12","2024-03-24-23:14:14006747"
"83.33333333333334","claude-3-opus-20240229","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","10 / 12","2024-03-30-11:25:42692569"
"75.0","claude-2.1","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","9 / 12","2024-03-30-11:25:42692779"
"0.0","stable-zephyr-3b","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","0 / 2","2024-03-30-11:25:42692956"
"0.0","tiny","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","0 / 2","2024-03-30-11:25:42693078"
"83.33333333333334","claude-3-opus-20240229","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","10 / 12","2024-03-30-11:53:30796365"
"75.0","claude-2.1","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","9 / 12","2024-03-30-11:53:30796650"
"16.666666666666664","stable-zephyr-3b","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl, error_explained_test_1.jsonl, error_explained_test_1.jsonl, winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","1 / 6","2024-03-30-11:53:30796842"
"0.0","tiny","winograd_schemas_test_file.jsonl, winograd_schemas_test_file.jsonl","0 / 2","2024-03-30-11:53:30797013"
